Class,Metric,Rank,Model,Score,Mean,Std
Normal,Sensitivity,1,OCT,0.9197 ± 0.0630,0.9196666666666667,0.06298588907225351
Normal,Sensitivity,2,BIO,0.8377 ± 0.0481,0.8376666666666667,0.04806823853185756
Normal,Specificity,1,OCT,0.9936 ± 0.0059,0.9936447275300779,0.005943205903467355
Normal,Specificity,2,BIO,0.9841 ± 0.0039,0.984092609442928,0.003912893424764856
Normal,F1-Score,1,OCT,0.9189 ± 0.0312,0.9189028132992327,0.031167590358496013
Normal,F1-Score,2,BIO,0.8210 ± 0.0411,0.8210089243244468,0.04107818967544875
Normal,Auc-Roc,1,OCT,0.9962 ± 0.0031,0.9961960031004617,0.0030567606391256916
Normal,Auc-Roc,2,BIO,0.9879 ± 0.0048,0.9878523236612409,0.00483084306896529
Early AMD,Sensitivity,1,BIO,0.6508 ± 0.1731,0.6507659007659008,0.17312873139198412
Early AMD,Sensitivity,2,OCT,0.3752 ± 0.1987,0.3751914751914752,0.19873514555074717
Early AMD,Specificity,1,OCT,0.9920 ± 0.0041,0.9920300532573106,0.004106692859540068
Early AMD,Specificity,2,BIO,0.9786 ± 0.0127,0.9785723475016204,0.012713759607073397
Early AMD,F1-Score,1,BIO,0.5902 ± 0.1425,0.5902142037485656,0.1425268611721048
Early AMD,F1-Score,2,OCT,0.4568 ± 0.1977,0.4568024132730015,0.19765808758228454
Early AMD,Auc-Roc,1,BIO,0.9797 ± 0.0113,0.9796720986561139,0.011310202964568907
Early AMD,Auc-Roc,2,OCT,0.9575 ± 0.0318,0.957451237631977,0.031848722664545796
Intermediate AMD,Sensitivity,1,OCT,0.8248 ± 0.0167,0.8248410835742306,0.01671556500007878
Intermediate AMD,Sensitivity,2,BIO,0.7598 ± 0.0425,0.7598222012571009,0.042456135356110716
Intermediate AMD,Specificity,1,BIO,0.8894 ± 0.0181,0.8893973104592433,0.01811049881554434
Intermediate AMD,Specificity,2,OCT,0.7955 ± 0.0443,0.795516990350282,0.04432832297936882
Intermediate AMD,F1-Score,1,BIO,0.7800 ± 0.0341,0.7799615699021472,0.03409123207872499
Intermediate AMD,F1-Score,2,OCT,0.7603 ± 0.0238,0.7602832666314339,0.023815226125791154
Intermediate AMD,Auc-Roc,1,BIO,0.8997 ± 0.0292,0.8996545462362799,0.02920053551688217
Intermediate AMD,Auc-Roc,2,OCT,0.8810 ± 0.0226,0.8810009070578367,0.02261803956401338
Advanced AMD,Sensitivity,1,BIO,0.8865 ± 0.0297,0.8864767774598283,0.029718774738468894
Advanced AMD,Sensitivity,2,OCT,0.7988 ± 0.0414,0.7987810184166116,0.0413976128954611
Advanced AMD,Specificity,1,OCT,0.8835 ± 0.0213,0.8834846293248209,0.0212588467331117
Advanced AMD,Specificity,2,BIO,0.8590 ± 0.0223,0.8589741245060714,0.022259578524277148
Advanced AMD,F1-Score,1,BIO,0.8788 ± 0.0155,0.8787756481087218,0.015476315839911667
Advanced AMD,F1-Score,2,OCT,0.8375 ± 0.0250,0.8374702614156877,0.02498592494225904
Advanced AMD,Auc-Roc,1,BIO,0.9393 ± 0.0138,0.9392841858075298,0.013791651573765233
Advanced AMD,Auc-Roc,2,OCT,0.9225 ± 0.0192,0.9225271325982574,0.019178328587899182
