Model,Metric,Class,Mean,Std,Mean±Std
OCT,Sensitivity,Overall,0.8017699115044248,0.026987523330932565,0.80±0.03
OCT,Sensitivity,Normal,0.9196666666666667,0.06298588907225351,0.92±0.06
OCT,Sensitivity,Early AMD,0.3751914751914752,0.19873514555074717,0.38±0.20
OCT,Sensitivity,Intermediate AMD,0.8248410835742306,0.01671556500007878,0.82±0.02
OCT,Sensitivity,Advanced AMD,0.7987810184166116,0.0413976128954611,0.80±0.04
OCT,Specificity,Overall,0.9161691001156228,0.0117129815537507,0.92±0.01
OCT,Specificity,Normal,0.9936447275300779,0.005943205903467355,0.99±0.01
OCT,Specificity,Early AMD,0.9920300532573106,0.004106692859540068,0.99±0.00
OCT,Specificity,Intermediate AMD,0.795516990350282,0.04432832297936882,0.80±0.04
OCT,Specificity,Advanced AMD,0.8834846293248209,0.0212588467331117,0.88±0.02
OCT,F1-Score,Overall,0.8009698999477548,0.02767028470901215,0.80±0.03
OCT,F1-Score,Normal,0.9189028132992327,0.031167590358496013,0.92±0.03
OCT,F1-Score,Early AMD,0.4568024132730015,0.19765808758228454,0.46±0.20
OCT,F1-Score,Intermediate AMD,0.7602832666314339,0.023815226125791154,0.76±0.02
OCT,F1-Score,Advanced AMD,0.8374702614156877,0.02498592494225904,0.84±0.02
OCT,AUC-ROC,Overall,0.9138569059292732,0.019460131607580484,0.91±0.02
OCT,AUC-ROC,Normal,0.9961960031004617,0.0030567606391256916,1.00±0.00
OCT,AUC-ROC,Early AMD,0.957451237631977,0.031848722664545796,0.96±0.03
OCT,AUC-ROC,Intermediate AMD,0.8810009070578367,0.02261803956401338,0.88±0.02
OCT,AUC-ROC,Advanced AMD,0.9225271325982574,0.019178328587899182,0.92±0.02
BIO,Sensitivity,Overall,0.8271386430678465,0.027875715999828795,0.83±0.03
BIO,Sensitivity,Normal,0.8376666666666667,0.04806823853185756,0.84±0.05
BIO,Sensitivity,Early AMD,0.6507659007659008,0.17312873139198412,0.65±0.17
BIO,Sensitivity,Intermediate AMD,0.7598222012571009,0.042456135356110716,0.76±0.04
BIO,Sensitivity,Advanced AMD,0.8864767774598283,0.029718774738468894,0.89±0.03
BIO,Specificity,Overall,0.9277590979774658,0.010241390824441792,0.93±0.01
BIO,Specificity,Normal,0.984092609442928,0.003912893424764856,0.98±0.00
BIO,Specificity,Early AMD,0.9785723475016204,0.012713759607073397,0.98±0.01
BIO,Specificity,Intermediate AMD,0.8893973104592433,0.01811049881554434,0.89±0.02
BIO,Specificity,Advanced AMD,0.8589741245060714,0.022259578524277148,0.86±0.02
BIO,F1-Score,Overall,0.8273476539597164,0.026487217902090673,0.83±0.03
BIO,F1-Score,Normal,0.8210089243244468,0.04107818967544875,0.82±0.04
BIO,F1-Score,Early AMD,0.5902142037485656,0.1425268611721048,0.59±0.14
BIO,F1-Score,Intermediate AMD,0.7799615699021472,0.03409123207872499,0.78±0.03
BIO,F1-Score,Advanced AMD,0.8787756481087218,0.015476315839911667,0.88±0.02
BIO,AUC-ROC,Overall,0.9296152217527146,0.018842456066456053,0.93±0.02
BIO,AUC-ROC,Normal,0.9878523236612409,0.00483084306896529,0.99±0.00
BIO,AUC-ROC,Early AMD,0.9796720986561139,0.011310202964568907,0.98±0.01
BIO,AUC-ROC,Intermediate AMD,0.8996545462362799,0.02920053551688217,0.90±0.03
BIO,AUC-ROC,Advanced AMD,0.9392841858075298,0.013791651573765233,0.94±0.01
3D,Sensitivity,Overall,0.8300884955752214,0.06831313248509617,0.83±0.07
3D,Sensitivity,Normal,0.8026666666666668,0.1742667176740553,0.80±0.17
3D,Sensitivity,Early AMD,0.346969696969697,0.3503900489590851,0.35±0.35
3D,Sensitivity,Intermediate AMD,0.8342112784289061,0.05642734092399639,0.83±0.06
3D,Sensitivity,Advanced AMD,0.8670159586176535,0.05287044207556395,0.87±0.05
3D,Specificity,Overall,0.9277697859591469,0.030702471658146168,0.93±0.03
3D,Specificity,Normal,0.9930017187342027,0.0034905416542079038,0.99±0.00
3D,Specificity,Early AMD,0.9926416625069567,0.009370868042322124,0.99±0.01
3D,Specificity,Intermediate AMD,0.8370807508926191,0.08147993715451289,0.84±0.08
3D,Specificity,Advanced AMD,0.8883550117028095,0.048946561151966425,0.89±0.05
3D,F1-Score,Overall,0.8246231735383057,0.07375436077740785,0.82±0.07
3D,F1-Score,Normal,0.8399839349927614,0.12295328115294935,0.84±0.12
3D,F1-Score,Early AMD,0.3611111111111111,0.3424674446093876,0.36±0.34
3D,F1-Score,Intermediate AMD,0.7927598299108569,0.08409027587391572,0.79±0.08
3D,F1-Score,Advanced AMD,0.879861317635328,0.05007726904324121,0.88±0.05
3D,AUC-ROC,Overall,0.9364883278813163,0.03227088166228037,0.94±0.03
3D,AUC-ROC,Normal,0.9903738752401173,0.008145842601765749,0.99±0.01
3D,AUC-ROC,Early AMD,0.9656108372264853,0.017134914068027852,0.97±0.02
3D,AUC-ROC,Intermediate AMD,0.9086534101264098,0.05202790449114765,0.91±0.05
3D,AUC-ROC,Advanced AMD,0.9466598563621471,0.02432627436212154,0.95±0.02
